carbons,naive_1,naive_2,naive_3,naive_4,naive_5,canonical_1,canonical_2,canonical_3,canonical_4,canonical_5,breakid_1,breakid_2,breakid_3,breakid_4,breakid_5,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,molgen_1,molgen_2,molgen_3,molgen_4,molgen_5,sbass_1,sbass_2,sbass_3,sbass_4,sbass_5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
3,15,15,15,15,15,5,5,5,5,5,15,15,15,15,15,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15
4,112,112,112,112,112,15,15,15,15,15,112,112,112,112,112,7,7,7,7,7,7,7,7,7,7,112,112,112,112,112
5,1120,1120,1120,1120,1120,44,44,44,44,44,1120,1120,1120,1120,1120,14,14,14,14,14,14,14,14,14,14,1120,1120,1120,1120,1120
6,14070,14070,14070,14070,14070,155,155,155,155,155,14070,14070,14070,14070,14070,32,32,32,32,32,32,32,32,32,32,14070,14070,14070,14070,14070
7,213150,213150,213150,213150,213150,603,603,603,603,603,213150,213150,213150,213150,213150,72,72,72,72,72,72,72,72,72,72,None,None,None,None,None
8,None,None,None,None,None,2563,2563,2563,2563,2563,None,None,None,None,None,171,171,171,171,171,171,171,171,171,171,None,None,None,None,None
9,None,None,None,None,None,11643,11643,11643,11643,11643,None,None,None,None,None,405,405,405,405,405,405,405,405,405,405,None,None,None,None,None
10,None,None,None,None,None,56277,56277,56277,56277,56277,None,None,None,None,None,989,989,989,989,989,989,989,989,989,989,None,None,None,None,None
11,None,None,None,None,None,285977,285977,285977,285977,285977,None,None,None,None,None,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,None,None,None,None,None
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,None,None,None,None,None
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15167,15167,15167,15167,15167,15167,15167,15167,15167,15167,None,None,None,None,None
14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38422,38422,38422,38422,38422,38422,38422,38422,38422,38422,None,None,None,None,None
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,97925,97925,97925,97925,97925,97925,97925,97925,97925,97925,None,None,None,None,None
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,251275,251275,251275,251275,251275,251275,251275,251275,251275,251275,None,None,None,None,None
17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,648061,648061,648061,648061,648061,648061,648061,648061,648061,648061,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1679869,1679869,1679869,1679869,1679869,1679869,1679869,1679869,1679869,1679869,None,None,None,None,None
